# OrdScale, Damp Rate: 0.0239638044938 0.116555513302
#  r 	 Gdiff 	 mPDF_calc 	 TotalDiff
3.430000000000000160e+00 -1.396025339891220352e-01 -1.718535956638529705e-01 3.225106167473093532e-02
3.440000000000000391e+00 -1.874553152772103770e-01 -1.682588963997753706e-01 -1.919641887743500641e-02
3.450000000000000178e+00 -2.387614921944853918e-01 -1.646950604451591638e-01 -7.406643174932622808e-02
3.459999999999999964e+00 -2.904959327144711612e-01 -1.611643809507280478e-01 -1.293315517637431133e-01
3.469999999999999751e+00 -3.395490334380023567e-01 -1.576690395985879956e-01 -1.818799938394143612e-01
3.479999999999999982e+00 -3.829106775537527985e-01 -1.542111059705360276e-01 -2.286995715832167708e-01
3.490000000000000213e+00 -4.178691012084553846e-01 -1.507925371889298205e-01 -2.670765640195255641e-01
3.500000000000000000e+00 -4.421502524830011049e-01 -1.474151778230948229e-01 -2.947350746599062821e-01
3.509999999999999787e+00 -4.540710922481309142e-01 -1.440807600535740640e-01 -3.099903321945568502e-01
3.520000000000000018e+00 -4.526323653063654140e-01 -1.407909040858975613e-01 -3.118414612204678527e-01
3.530000000000000249e+00 -4.375858011210752574e-01 -1.375471188049709470e-01 -3.000386823161043104e-01
3.540000000000000036e+00 -4.094257633066672453e-01 -1.343508026606472505e-01 -2.750749606460199947e-01
3.549999999999999822e+00 -3.693736429188746451e-01 -1.312032447745655472e-01 -2.381703981443090978e-01
3.560000000000000053e+00 -3.192763452271296098e-01 -1.281056262579045313e-01 -1.911707189692250786e-01
3.570000000000000284e+00 -2.614818090810161477e-01 -1.250590217293107431e-01 -1.364227873517054046e-01
3.580000000000000071e+00 -1.987021404992646567e-01 -1.220644010219372189e-01 -7.663773947732743785e-02
3.589999999999999858e+00 -1.338129434055680411e-01 -1.191226310682380329e-01 -1.469031233733000819e-02
3.600000000000000089e+00 -6.969955339253985915e-02 -1.162344779509320442e-01 4.653492455839218500e-02
3.610000000000000320e+00 -9.050380503083543804e-03 -1.134006091083666207e-01 1.043502286052830769e-01
3.620000000000000107e+00 4.577564132040190525e-02 -1.106215956823760060e-01 1.563972370027779113e-01
3.629999999999999893e+00 9.291889698490440885e-02 -1.078979149966445839e-01 2.008168119815489927e-01
3.640000000000000124e+00 1.310647906370895344e-01 -1.052299531535432764e-01 2.362947437906328108e-01
3.650000000000000355e+00 1.595483335437667405e-01 -1.026180077374178046e-01 2.621663412811845451e-01
3.660000000000000142e+00 1.783296783754322323e-01 -1.000622906123541100e-01 2.783919689877863424e-01
3.669999999999999929e+00 1.879774994753660167e-01 -9.756293080254507810e-02 2.855404302779110948e-01
3.680000000000000160e+00 1.895588900081909278e-01 -9.511997744351424755e-02 2.846788674517051754e-01
3.690000000000000391e+00 1.845761302481736532e-01 -9.273340279263042607e-02 2.773095330408040793e-01
3.700000000000000178e+00 1.747751208383487853e-01 -9.040310528755551855e-02 2.651782261259043039e-01
3.709999999999999964e+00 1.620511878988518673e-01 -8.812891264151911930e-02 2.501801005403709866e-01
3.719999999999999751e+00 1.482419634492333493e-01 -8.591058496459050287e-02 2.341525484138238522e-01
3.729999999999999982e+00 1.349976550728985147e-01 -8.374781790043356322e-02 2.187454729733320780e-01
3.740000000000000213e+00 1.236757269860610520e-01 -8.164024576836703684e-02 2.053159727544280888e-01
3.750000000000000000e+00 1.152281947606665913e-01 -7.958744470092035672e-02 1.948156394615869480e-01
3.759999999999999787e+00 1.101428894530532832e-01 -7.758893576746445087e-02 1.877318252205177340e-01
3.770000000000000018e+00 1.084332380922176653e-01 -7.564418807490716490e-02 1.840774261671248302e-01
3.780000000000000249e+00 1.096449940229941022e-01 -7.375262183687308903e-02 1.833976158598671913e-01
3.790000000000000036e+00 1.129497073054904765e-01 -7.191361140323224155e-02 1.848633187087227181e-01
3.800000000000000266e+00 1.171926596006559462e-01 -7.012648824230266476e-02 1.873191478429586110e-01
3.810000000000000053e+00 1.210425454296604197e-01 -6.839054386852214118e-02 1.894330892981825609e-01
3.820000000000000284e+00 1.231315423937784370e-01 -6.670503270886260494e-02 1.898365751026410420e-01
3.830000000000000071e+00 1.221783776658462717e-01 -6.506917490174751739e-02 1.872475525675937891e-01
3.839999999999999858e+00 1.171139664532756530e-01 -6.348215902272233424e-02 1.805961254759979873e-01
3.850000000000000089e+00 1.072145400193889042e-01 -6.194314473161990908e-02 1.691576847510088133e-01
3.859999999999999876e+00 9.214840304121130199e-02 -6.045126533645492350e-02 1.525996683776662255e-01
3.870000000000000107e+00 7.210207099438226130e-02 -5.900563026977070913e-02 1.311077012641529704e-01
3.879999999999999893e+00 4.772201299865319601e-02 -5.760532747364638384e-02 1.053273404722995799e-01
3.890000000000000124e+00 2.009397394260614700e-02 -5.624942569005277060e-02 7.634339963265891760e-02
3.899999999999999911e+00 -9.298810575540661372e-03 -5.493697665371582994e-02 4.563816607817516857e-02
3.910000000000000142e+00 -3.866705617007704099e-02 -5.366701718510860641e-02 1.499996101503156543e-02
3.919999999999999929e+00 -6.608496209642661379e-02 -5.243857118164425152e-02 -1.364639091478236227e-02
3.930000000000000160e+00 -8.960321658529180056e-02 -5.125065150558021088e-02 -3.835256507971158968e-02
3.939999999999999947e+00 -1.074115351134879437e-01 -5.010226176757004435e-02 -5.730927334591789934e-02
3.950000000000000178e+00 -1.179794678721132750e-01 -4.899239800520893695e-02 -6.898706986690433807e-02
3.959999999999999964e+00 -1.201792415199949282e-01 -4.792005025631421167e-02 -7.225919126368071654e-02
3.970000000000000195e+00 -1.134073934141627271e-01 -4.688420402706067192e-02 -6.652318938710205520e-02
3.979999999999999982e+00 -9.762535348151712977e-02 -4.588384165545125043e-02 -5.174151182606587934e-02
3.990000000000000213e+00 -7.341136652866997458e-02 -4.491794357094743007e-02 -2.849342295772254452e-02
4.000000000000000000e+00 -4.191413065530447124e-02 -4.398548945140873939e-02 2.071358796104268152e-03
4.009999999999999787e+00 -4.847601838299020471e-03 -4.308545927879720017e-02 3.823785744049817970e-02
4.019999999999999574e+00 3.568625224295929321e-02 -4.221683429538804211e-02 7.790308653834733532e-02
4.030000000000000249e+00 7.724820116294339734e-02 -4.137859786250758232e-02 1.186267990254509797e-01
4.040000000000000036e+00 1.172671864973293676e-01 -4.056973622405390945e-02 1.578369227213832771e-01
4.050000000000000711e+00 1.531878810524204271e-01 -3.978923917729615400e-02 1.929771202297165811e-01
4.060000000000000497e+00 1.826587142773803407e-01 -3.903610065366097670e-02 2.216948149310413174e-01
4.070000000000000284e+00 2.036484589552968183e-01 -3.830931921240812721e-02 2.419577781677049455e-01
4.080000000000000071e+00 2.146323431850098995e-01 -3.760789845027562306e-02 2.522402416352855226e-01
4.089999999999999858e+00 2.146499416284097794e-01 -3.693084733033363820e-02 2.515807889587434176e-01
4.099999999999999645e+00 2.034541336658701738e-01 -3.627718043343033938e-02 2.397313140993005132e-01
4.109999999999999432e+00 1.813935102596808679e-01 -3.564591813573994572e-02 2.170394283954208137e-01
4.120000000000000107e+00 1.495780558113417591e-01 -3.503608671603525293e-02 1.846141425273770120e-01
4.129999999999999893e+00 1.096219713394965822e-01 -3.444671839640403577e-02 1.440686897359006180e-01
4.140000000000000568e+00 6.373332836005562996e-02 -3.387685132021228673e-02 9.761017968026791669e-02
4.150000000000000355e+00 1.439697066571588024e-02 -3.332552947118755382e-02 4.772250013690343406e-02
4.160000000000000142e+00 -3.569523267638841091e-02 -3.279180253755371865e-02 -2.903430138834692253e-03
4.169999999999999929e+00 -8.379304725778569107e-02 -3.227472572519517885e-02 -5.151832153259051222e-02
4.179999999999999716e+00 -1.272812013476776194e-01 -3.177335952386436957e-02 -9.550784182381324983e-02
4.189999999999999503e+00 -1.639418686216878029e-01 -3.128676943047295489e-02 -1.326550991912148481e-01
4.200000000000000178e+00 -1.919289145122888840e-01 -3.081402563352397816e-02 -1.611148888787649058e-01
4.209999999999999964e+00 -2.100241972671179624e-01 -3.035420266275201673e-02 -1.796699946043659457e-01
4.220000000000000639e+00 -2.176036300973902549e-01 -2.990637900803930216e-02 -1.876972510893509527e-01
4.230000000000000426e+00 -2.147980234639046415e-01 -2.946963671167102117e-02 -1.853283867522336203e-01
4.240000000000000213e+00 -2.023310810850116326e-01 -2.904306093798286748e-02 -1.732880201470287651e-01
4.250000000000000000e+00 -1.815944367860238273e-01 -2.862573952443953074e-02 -1.529686972615842966e-01
4.259999999999999787e+00 -1.544673774718390291e-01 -2.821676251815186109e-02 -1.262506149536871680e-01
4.269999999999999574e+00 -1.232869538421468292e-01 -2.781522170182561260e-02 -9.547173214032121658e-02
4.280000000000000249e+00 -9.057255909619943424e-02 -2.742021011310656620e-02 -6.315234898309286804e-02
4.290000000000000036e+00 -5.895775674286962698e-02 -2.703082156124886337e-02 -3.192693518162076360e-02
4.300000000000000711e+00 -3.104114459633411371e-02 -2.664615014500084159e-02 -4.394994451333272129e-03
4.310000000000000497e+00 -9.067326757204341448e-03 -2.626528977556454730e-02 1.719796301836020586e-02
4.320000000000000284e+00 4.991398940644486970e-03 -2.588733370844598439e-02 3.087873264909047136e-02
4.330000000000000071e+00 9.772266484882941029e-03 -2.551137408797049533e-02 3.528364057285343636e-02
4.339999999999999858e+00 4.457828867545199358e-03 -2.513650150819392651e-02 2.959433037573912587e-02
4.349999999999999645e+00 -1.113023994919526416e-02 -2.476180459389380056e-02 1.363156464469853640e-02
4.359999999999999432e+00 -3.643029827562216383e-02 -2.438636960527645198e-02 -1.204392867034571185e-02
4.370000000000000107e+00 -7.033448739973024999e-02 -2.400928006998577502e-02 -4.632520732974447497e-02
4.379999999999999893e+00 -1.111496692002358344e-01 -2.362961644594610555e-02 -8.752005275428972886e-02
4.390000000000000568e+00 -1.566593857636942033e-01 -2.324645581851647602e-02 -1.334129299451777273e-01
4.400000000000000355e+00 -2.043822340189462849e-01 -2.285887163537508870e-02 -1.815233623835711962e-01
4.410000000000000142e+00 -2.515939153397930284e-01 -2.246593348249120714e-02 -2.291279818573018212e-01
4.419999999999999929e+00 -2.955723694699923243e-01 -2.206670690447687377e-02 -2.735056625655154505e-01
4.429999999999999716e+00 -3.336777798167780418e-01 -2.166025327254106347e-02 -3.120175265442369783e-01
4.439999999999999503e+00 -3.635717596515064542e-01 -2.124562970319582300e-02 -3.423261299483106312e-01
4.450000000000000178e+00 -3.832925846690820038e-01 -2.082188903078463493e-02 -3.624706956382973688e-01
4.459999999999999964e+00 -3.914457920679978997e-01 -2.038807983681945046e-02 -3.710577122311784493e-01
4.470000000000000639e+00 -3.871516696866823537e-01 -1.994324653902296296e-02 -3.672084231476593907e-01
4.480000000000000426e+00 -3.702029554340136031e-01 -1.948642954287188589e-02 -3.507165258911417172e-01
4.490000000000000213e+00 -3.410473088516838835e-01 -1.901666545833918809e-02 -3.220306433933446955e-01
4.500000000000000000e+00 -3.007696745190711063e-01 -1.853298738442221705e-02 -2.822366871346488892e-01
4.509999999999999787e+00 -2.509594348903698702e-01 -1.803442526391163536e-02 -2.329250096264582348e-01
