# r 	 gobs 	 nucpdfcalc 	 mpdfcalc
3.149999999999999911e+00 -8.487417873713216654e-01 -6.750162931673708844e-01 -1.018166815865499120e-01
3.160000000000000142e+00 -7.595979682609983463e-01 -5.516887861167580898e-01 -1.023573465732017657e-01
3.169999999999999929e+00 -6.747141963427791822e-01 -4.411365107132083629e-01 -1.028171240403295966e-01
3.180000000000000160e+00 -5.929057780285714729e-01 -3.425867998896840461e-01 -1.031938973076435978e-01
3.189999999999999947e+00 -5.133248111063806185e-01 -2.551179371272384588e-01 -1.034856198514603753e-01
3.200000000000000178e+00 -4.354983690184133227e-01 -1.777157852301762819e-01 -1.036903205718325838e-01
3.209999999999999964e+00 -3.593397060092817785e-01 -1.093275065816468744e-01 -1.038061088553442340e-01
3.220000000000000195e+00 -2.851328263610198310e-01 -4.891025300418472277e-02 -1.038311796176874524e-01
3.229999999999999982e+00 -2.134922734005846034e-01 4.526921345938045294e-03 -1.037638183126334407e-01
3.240000000000000213e+00 -1.453013737815773143e-01 5.188923046165352243e-02 -1.036024058934282149e-01
3.250000000000000000e+00 -8.163334425543593287e-02 9.397123622008837773e-02 -1.033454237140095794e-01
3.260000000000000231e+00 -2.366056878889627110e-02 1.314411680994544973e-01 -1.029914583450770582e-01
3.270000000000000018e+00 2.744206360186658700e-02 1.648343295410734377e-01 -1.025392063078162386e-01
3.280000000000000249e+00 7.059363418378715449e-02 1.945549888968881869e-01 -1.019874787004258765e-01
3.290000000000000036e+00 1.048974766796073183e-01 2.208857611289168910e-01 -1.013352056908895932e-01
3.300000000000000266e+00 1.297197238666064345e-01 2.440031694740793788e-01 -1.005814408773358093e-01
3.310000000000000053e+00 1.447513534478591934e-01 2.639978474429317545e-01 -9.972536549051692900e-02
3.320000000000000284e+00 1.500500104359804854e-01 2.808977088993295790e-01 -9.876629242419424082e-02
3.330000000000000071e+00 1.460591280452935292e-01 2.946923802183186170e-01 -9.770367007747599031e-02
3.339999999999999858e+00 1.336032425737506690e-01 3.053572508315703926e-01 -9.653708599331678464e-02
3.350000000000000089e+00 1.138598197528767758e-01 3.128756488821727300e-01 -9.526627027767041456e-02
3.359999999999999876e+00 8.830929836767213714e-02 3.172578746943403583e-01 -9.389109878416172783e-02
